cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,Hardware Information on AWS Documentation & Comments,instance-class,instance-storage,memory-available,platform-memory,release-date,storage-drives
16,8,AWS,AWS Graviton,150.00,N/A,N/A,AWS Graviton (ARM),a1.2xlarge,EBS-Only,16,32,November 2018,0
16,16,AWS,AWS Graviton,150.00,N/A,N/A,AWS Graviton (ARM),a1.4xlarge,EBS-Only,32,32,November 2018,0
16,2,AWS,AWS Graviton,150.00,N/A,N/A,AWS Graviton (ARM),a1.large,EBS-Only,4,32,November 2018,0
16,1,AWS,AWS Graviton,150.00,N/A,N/A,AWS Graviton (ARM),a1.medium,EBS-Only,2,32,November 2018,0
16,16,AWS,AWS Graviton,150.00,N/A,N/A,AWS Graviton (ARM),a1.metal,EBS-Only,32,32,October 2019,0
16,4,AWS,AWS Graviton,150.00,N/A,N/A,AWS Graviton (ARM),a1.xlarge,EBS-Only,8,32,November 2018,0
48,2,Intel,Intel® Xeon® E5-2651 v2,95.00,N/A,N/A,,c1.medium,1 x SSD 350,1.7,42,May 2008,1
48,8,Intel,Intel® Xeon® E5-2651 v2,95.00,N/A,N/A,,c1.xlarge,4 x SSD 420,7,42,May 2008,4
40,8,Intel,Intel® Xeon® E5-2680 v2,115.00,N/A,N/A,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor,c3.2xlarge,2 x 80 (SSD),15,60,November 2013,2
40,16,Intel,Intel® Xeon® E5-2680 v2,115.00,N/A,N/A,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor,c3.4xlarge,2 x 160 (SSD),30,60,November 2013,2
40,32,Intel,Intel® Xeon® E5-2680 v2,115.00,N/A,N/A,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor,c3.8xlarge,2 x 320 (SSD),60,60,November 2013,2
40,2,Intel,Intel® Xeon® E5-2680 v2,115.00,N/A,N/A,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor,c3.large,2 x 16 (SSD),3.75,60,November 2013,2
40,4,Intel,Intel® Xeon® E5-2680 v2,115.00,N/A,N/A,2.8 GHz Intel Xeon E5-2680v2 (Ivy Bridge) processor,c3.xlarge,2 x 40 (SSD),7.5,60,November 2013,2
40,8,Intel,Intel® Xeon® E5-2666 v3,135.00,N/A,N/A,2.9 GHz Intel Xeon E5-2666 v3 Processor,c4.2xlarge,EBS-Only,15,60,January 2015,0
40,8,Intel,Intel® Xeon® E5-2666 v3,135.00,N/A,N/A,2.9 GHz Intel Xeon E5-2666 v3 Processor,c4.2xlarge.elasticsearch,EBS-Only,15,60,January 2015,0
