year,cloud-provider,cloud-region,cfe-region,em-zone-id,wt-region-id,location,geolocation,cfe-hourly,cfe-annual,power-usage-efficiency,net-carbon,grid-carbon-intensity-24x7,grid-carbon-intensity-consumption,grid-carbon-intensity-marginal,grid-carbon-intensity-production,grid-carbon-intensity
2022,Google Cloud,asia-east1,Taiwan,TW,TW,Taiwan,,0.18,,,0,453,,,,453
2022,Google Cloud,asia-east2,Hong Kong,HK,HK,Hong Kong,,0.28,,,0,360,,,,360
2022,Google Cloud,asia-northeast1,Tokyo,JP-TK,JP_TK,Tokyo,,0.16,,,0,463,,,,463
2022,Google Cloud,asia-northeast2,Kansai,JP-KN,JP_KN,Osaka,,0.32,,,0,383,,,,383
2022,Google Cloud,asia-northeast3,South Korea,KR,KOR,Seoul,,0.31,,,0,425,,,,425
2022,Google Cloud,asia-south1,Maharashtra,IN-MH,IND,Mumbai,,0.24,,,0,555,,,,555
2022,Google Cloud,asia-south2,Uttar Pradesh,IN-UP,IND,Delhi,,0.23,,,0,632,,,,632
2022,Google Cloud,asia-southeast1,Singapore,SG,SGP,Singapore,,0.04,,,0,372,,,,372
2022,Google Cloud,asia-southeast2,Indonesia,ID,ID,Jakarta,,0.13,,,0,580,,,,580
2022,Google Cloud,australia-southeast1,New South Wales,AUS-NSW,NEM_NSW,Sydney,,0.27,,,0,538,,,,538
2022,Google Cloud,australia-southeast2,Victoria,AUS-VIC,NEM_VIC,Melbourne,,0.34,,,0,490,,,,490
2022,Google Cloud,europe-central2,Poland,PL,PL,Warsaw,,0.24,,,0,738,,,,738
2022,Google Cloud,europe-north1,Finland,FI,FI,Finland,,0.97,,,0,112,,,,112
2022,Google Cloud,europe-southwest1,Spain,ES,ES,Madrid,,0.67,,,0,160,,,,160
2022,Google Cloud,europe-west1,Belgium,BE,BE,Belgium,,0.8,,,0,123,,,,123
2022,Google Cloud,europe-west2,Great Britain,GB,UK,London,,0.85,,,0,166,,,,166
2022,Google Cloud,europe-west3,Germany,DE,DE,Frankfurt,,0.96,,,0,413,,,,413
2022,Google Cloud,europe-west4,Netherlands,NL,NL,Netherlands,,0.57,,,0,317,,,,317
