cpu-cores-available,cpu-cores-utilized,cpu-manufacturer,cpu-model-name,cpu-tdp,gpu-count,gpu-model-name,gpu-tdp,instance-class,memory-available
52.00,1.0,Intel,"Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",205.00,,,,Standard_A1_v2,2.0
52.00,2.0,Intel,"Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",205.00,,,,Standard_A2_v2,4.0
52.00,2.0,Intel,"Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",205.00,,,,Standard_A2m_v2,16.0
52.00,4.0,Intel,"Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",205.00,,,,Standard_A4_v2,8.0
52.00,4.0,Intel,"Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",205.00,,,,Standard_A4m_v2,32.0
52.00,8.0,Intel,"Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",205.00,,,,Standard_A8_v2,16.0
52.00,8.0,Intel,"Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",205.00,,,,Standard_A8m_v2,64.0
64.00,12.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B12ms,48.0
128.00,16.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B16als_v2,32.0
128.00,16.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B16as_v2,64.0
64.00,16.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B16ls_v2,32.0
64.00,16.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B16ms,64.0
128.00,16.0,Ampere,Ampere® Altra®,180.00,,,,Standard_B16pls_v2,32.0
128.00,16.0,Ampere,Ampere® Altra®,180.00,,,,Standard_B16ps_v2,64.0
64.00,16.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B16s_v2,64.0
64.00,1.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B1ls2,0.5
64.00,1.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B1ms,2.0
64.00,1.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B1s,1.0
64.00,20.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B20ms,80.0
128.00,2.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B2als_v2,4.0
128.00,2.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B2as_v2,8.0
128.00,2.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B2ats_v2,1.0
64.00,2.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B2ls_v2,4.0
64.00,2.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B2ms,8.0
128.00,2.0,Ampere,Ampere® Altra®,180.00,,,,Standard_B2pls_v2,4.0
128.00,2.0,Ampere,Ampere® Altra®,180.00,,,,Standard_B2ps_v2,8.0
128.00,2.0,Ampere,Ampere® Altra®,180.00,,,,Standard_B2pts_v2,1.0
64.00,2.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B2s,4.0
64.00,2.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B2s_v2,8.0
64.00,2.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B2ts_v2,1.0
128.00,32.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B32als_v2,64.0
128.00,32.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B32as_v2,128.0
64.00,32.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B32ls_v2,64.0
64.00,32.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B32s_v2,128.0
128.00,4.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B4als_v2,8.0
128.00,4.0,AMD,AMD EPYC™ 7763,280.00,,,,Standard_B4as_v2,16.0
64.00,4.0,Intel,Intel® Xeon® Platinum 8370C,270.00,,,,Standard_B4ls_v2,8.0
64.00,4.0,Intel,"Intel® Xeon® Platinum 8370C,Intel® Xeon® Platinum 8272CL,Intel® Xeon® 8171M 2.1 GHz,Intel® Xeon® E5-2673 v4 2.3 GHz,Intel® Xeon® E5-2673 v3 2.4 GHz",270.00,,,,Standard_B4ms,16.0
128.00,4.0,Ampere,Ampere® Altra®,180.00,,,,Standard_B4pls_v2,8.0
128.00,4.0,Ampere,Ampere® Altra®,180.00,,,,Standard_B4ps_v2,16.0
